seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
inner_corner,64,0.3,0.4,1,done,2026-07-24T00:16:56.089
inner_corner,96,0.3,0.0,1,done,2026-07-24T00:17:06.705
inner_corner,96,0.3,0.1,1,done,2026-07-24T00:17:12.617
inner_corner,96,0.3,0.2,1,done,2026-07-24T00:17:16.748
inner_corner,96,0.3,0.3,1,done,2026-07-24T00:17:20.780
inner_corner,96,0.3,0.4,1,done,2026-07-24T00:17:28.386
inner_corner,128,0.3,0.0,1,done,2026-07-24T00:17:42.362
inner_corner,128,0.3,0.1,1,done,2026-07-24T00:17:58.237
inner_corner,128,0.3,0.2,1,done,2026-07-24T00:18:09.146
inner_corner,128,0.3,0.3,1,done,2026-07-24T00:18:21.418
inner_corner,128,0.3,0.4,1,done,2026-07-24T00:18:45.724
inner_corner,32,0.4,0.0,1,done,2026-07-24T00:18:45.773
inner_corner,32,0.4,0.1,1,done,2026-07-24T00:18:45.811
inner_corner,32,0.4,0.2,1,done,2026-07-24T00:18:45.868
inner_corner,32,0.4,0.3,1,done,2026-07-24T00:18:45.915
inner_corner,32,0.4,0.4,1,done,2026-07-24T00:18:45.992
inner_corner,48,0.4,0.0,1,done,2026-07-24T00:18:48.889
inner_corner,48,0.4,0.1,1,done,2026-07-24T00:18:50.007
inner_corner,48,0.4,0.2,1,done,2026-07-24T00:18:51.007
inner_corner,48,0.4,0.3,1,done,2026-07-24T00:18:52.262
inner_corner,48,0.4,0.4,1,done,2026-07-24T00:18:53.854
inner_corner,64,0.4,0.0,1,done,2026-07-24T00:18:55.980
inner_corner,64,0.4,0.1,1,done,2026-07-24T00:18:58.162
inner_corner,64,0.4,0.2,1,done,2026-07-24T00:19:00.730
inner_corner,64,0.4,0.3,1,done,2026-07-24T00:19:04.275
inner_corner,64,0.4,0.4,1,done,2026-07-24T00:19:06.084
inner_corner,96,0.4,0.0,1,done,2026-07-24T00:19:15.592
inner_corner,96,0.4,0.1,1,done,2026-07-24T00:19:27.245
inner_corner,96,0.4,0.2,1,done,2026-07-24T00:19:32.906
inner_corner,96,0.4,0.3,1,done,2026-07-24T00:19:37.701
inner_corner,96,0.4,0.4,1,done,2026-07-24T00:19:41.335
inner_corner,128,0.4,0.0,1,done,2026-07-24T00:19:55.230
inner_corner,128,0.4,0.1,1,done,2026-07-24T00:20:10.147
