class_length,rho0,delta_lambda,trial,status,completed_at
64,0.4,0.4,2,done,2026-07-23T23:57:46.458
96,0.4,0.0,2,done,2026-07-23T23:57:49.476
96,0.4,0.1,2,done,2026-07-23T23:57:52.382
96,0.4,0.2,2,done,2026-07-23T23:57:54.829
96,0.4,0.3,2,done,2026-07-23T23:57:57.964
96,0.4,0.4,2,done,2026-07-23T23:58:00.675
128,0.4,0.0,2,done,2026-07-23T23:58:05.810
128,0.4,0.1,2,done,2026-07-23T23:58:09.040
128,0.4,0.2,2,done,2026-07-23T23:58:12.070
128,0.4,0.3,2,done,2026-07-23T23:58:16.584
128,0.4,0.4,2,done,2026-07-23T23:58:28.238
32,0.5,0.0,2,done,2026-07-23T23:58:28.246
32,0.5,0.1,2,done,2026-07-23T23:58:28.256
32,0.5,0.2,2,done,2026-07-23T23:58:28.280
32,0.5,0.3,2,done,2026-07-23T23:58:28.306
32,0.5,0.4,2,done,2026-07-23T23:58:28.376
48,0.5,0.0,2,done,2026-07-23T23:58:29.175
48,0.5,0.1,2,done,2026-07-23T23:58:29.263
48,0.5,0.2,2,done,2026-07-23T23:58:29.551
48,0.5,0.3,2,done,2026-07-23T23:58:29.651
48,0.5,0.4,2,done,2026-07-23T23:58:29.905
64,0.5,0.0,2,done,2026-07-23T23:58:30.095
64,0.5,0.1,2,done,2026-07-23T23:58:30.462
64,0.5,0.2,2,done,2026-07-23T23:58:30.778
64,0.5,0.3,2,done,2026-07-23T23:58:31.805
64,0.5,0.4,2,done,2026-07-23T23:58:32.750
96,0.5,0.0,2,done,2026-07-23T23:58:35.371
96,0.5,0.1,2,done,2026-07-23T23:58:37.677
96,0.5,0.2,2,done,2026-07-23T23:58:40.544
96,0.5,0.3,2,done,2026-07-23T23:58:44
96,0.5,0.4,2,done,2026-07-23T23:58:47.352
128,0.5,0.0,2,done,2026-07-23T23:58:51.265
128,0.5,0.1,2,done,2026-07-23T23:58:55.395
128,0.5,0.2,2,done,2026-07-23T23:59:01.591
128,0.5,0.3,2,done,2026-07-23T23:59:06.368
128,0.5,0.4,2,done,2026-07-23T23:59:12.444
32,0.6,0.0,2,done,2026-07-23T23:59:12.452
32,0.6,0.1,2,done,2026-07-23T23:59:12.847
32,0.6,0.2,2,done,2026-07-23T23:59:12.855
32,0.6,0.3,2,done,2026-07-23T23:59:12.867
32,0.6,0.4,2,done,2026-07-23T23:59:12.890
48,0.6,0.0,2,done,2026-07-23T23:59:13.049
48,0.6,0.1,2,done,2026-07-23T23:59:13.180
48,0.6,0.2,2,done,2026-07-23T23:59:13.387
48,0.6,0.3,2,done,2026-07-23T23:59:13.491
48,0.6,0.4,2,done,2026-07-23T23:59:13.639
64,0.6,0.0,2,done,2026-07-23T23:59:14.578
64,0.6,0.1,2,done,2026-07-23T23:59:15.568
64,0.6,0.2,2,done,2026-07-23T23:59:16.108
64,0.6,0.3,2,done,2026-07-23T23:59:16.708
64,0.6,0.4,2,done,2026-07-23T23:59:18.856
96,0.6,0.0,2,done,2026-07-23T23:59:21.033
96,0.6,0.1,2,done,2026-07-23T23:59:23.216
96,0.6,0.2,2,done,2026-07-23T23:59:26.077
96,0.6,0.3,2,done,2026-07-23T23:59:28.250
